id	disposition	bucket	net_min	net_max	overlap_group	evidence
SA-003	proposed	current_contract	140	240	SA-003	Finalize one caller-supplied successor payload with exact checked metadata exchange; keep operation-specific admission and command preflight. writer/begin uses one DomainReader snapshot, so save original charge instead of rereading the shadowed head. Preserve declared accounting policy.
SA-004	proposed	current_contract	35	65	SA-004	Mandatory consume-by-value custody should be direct fields; only extractable command remains optional. No Drop implementation prevents safe destructuring; rejected receipt and standalone consumption must still release reservations.
SA-005	proposed	current_contract	85	130	SA-005	One private terminal mutation can back three named seal entry points. Keep permitted terminal outcomes and replay policy closed; active advance/seal mechanics remain separate.
SA-006	proposed	current_contract	30	65	SA-006	One bounded source-then-target index-effect assembler removes duplicate aggregation without merging the source-order and target-id trees.
SA-007	proposed	current_contract	140	240	SA-007	Share proven-page and admitted-tail test mechanics only; keep independent canonical encoders and fixture versus writer-admitted marker paths. No TestHome body is counted here.
SA-008	proposed	current_contract	45	80	SA-008	Use thiserror only for the four named errors, retaining readiness source=None and existing seal conversion/source. Callback provenance is unaffected.
SA-009	retained	retained	0	0	SA-009	im::OrdMap has no authenticated external-node/replay seam. Keep the durable tree and its local SA-002/006 reductions; archive status is an additional negative, not the central fit argument.
SA-010	retained	retained	0	0	SA-010	Preflight and in-command observation protect different times and authorities. Preserve canonical source occurrence order/multiplicity, target correlation and terminal custody.
SA-011	correctness_correction	correctness	0	0	SA-011	Static duplicate module declaration prevents using the accepted-proof target as future evidence. Rename fixture support separately from common support; no LOC saving.
SQ-001	proposed	current_contract	250	350	SQ-001	A shared steering acquisition has two explicit policies, not one eligibility rule. Ready non-Routed stabilized absence and delivering invariant remain asymmetric; preserve twelve reads and API-specific metrics.
SQ-002	proposed	current_contract	140	220	SQ-002	Share bounded encoded-byte transport with caller-sized storage and exact accounting adapters. Do not use UTF8-clipped text pages to fill arbitrary encoded windows or erase chunk authentication.
SQ-003	proposed	current_contract	65	100	SQ-003	Share existing text-page orchestration after preserving the different offset-validation order and marker authorization. Equality of the second manifest with the first permits skipping only repeated pure validation.
SQ-004	proposed	current_contract	40	65	SQ-004	Share the exact narrative-span construction/read/equality fold. Staged partial-completion rules and published first-generation rules remain local and independently acquired.
SQ-005	proposed	current_contract	55	85	SQ-005	One internal Read/Invariant domain replaces only lossless internal maps. The completion and live publication mutation maps remain explicit and counted here once; SC-002 preserves the reused enum's unsourced Error behavior.
SQ-006	proposed	current_contract	105	115	SQ-006	Delete only the eight-record identity rewrite. Preserve the extra HistorySummary revision in initial construction, split_off(8), 384-member setup and twelve-read assertion.
SQ-007	proposed	current_contract	35	55	SQ-007	Share revision-fenced source transport but keep public cursor types, diagnostics, limits and AcceptedNext's revision wrapper.
SQ-R01	retained	retained	0	0	SQ-R01	Exhaustive physical-family validation, reverse orphan checks and historical descendant rules cannot be replaced by ordinary bounded queries or current-record equality.
SQ-R02	deferred	deferred	0	0	SQ-R02	Resolve the route-only derivation in SL-004 and activity/phase derivations in SX-003, with zero here. Broad stop/recovery snapshot unification remains deferred because independent missing records and the eighth/thirty-third-read race schedule matter.
DT-001	proposed	current_contract	60	100	DT-001	Flatten record variants and immediate downcasts together, maintaining boxed large payloads and public opaque opening APIs. Session/publication caller savings are already included and excluded from DP-003/004.
DT-002	proposed	current_contract	60	100	DT-002	Share the eleven-field private progress payload and receipt traversal without merging independently durable records or deleting public accessors. DP-001 owns only header-copy callers.
DT-003	proposed	current_contract	60	90	DT-003	Refine direct delegation: finalize_build_root compresses all roots and checks session before wrapping a singleton sequence, whereas build_roots wraps before index/order compression. Share post-normalization summary construction or preserve those caller preludes exactly; direct delegation alone is not established read/error equivalent. Keep 60–90 net for the bounded extraction.
DT-004	contract_gated	contract_alternative	60	85	DT-004	Replace only DraftPieceBuildFrontierV1::Removing with a schema-authorized Planning→Applying transition. Correct paths are model.rs, codec.rs, tree.rs, persistent.rs and one mutation.rs match. DraftPieceActiveMarkerPhaseV1::Removing in builder_model/builder_continuation remains required. Revised conditional net60–85 supersedes both preliminary95–130 and file-review40–100.
DT-005	proposed	current_contract	40	80	DT-005	Share cursor descent/prefix mechanics with a small direction choice. Keep exclusive marker continuation, scalar anchoring, same-anchor ordering and fixed read budgets.
DT-006	proposed	current_contract	70	120	DT-006	Keep 70–120 for existing command/publication-capture/marker-limit/CandidateDraft reuse. This owns draft_label_protection's local home body; new TempDir share excludes it completely. DP-007 excludes these constructor ranges even where durable_builder support is shared.
DT-007	retained	retained	0	0	DT-007	Ropey may serve a future bounded resident view, but a private resident text tree cannot replace three durable authenticated structures and their exact restart protocol. No storage saving.
DP-001	proposed	current_contract	110	170	DP-001	Share immutable build identity construction and header-preserving updates after DT-002's payload boundary is chosen. No repeated public accessor or model/digest deletion is counted.
DP-002	proposed	current_contract	170	260	DP-002	One authenticated staging finalizer removes provisional/final constructor copies. receipt_digest hashes encoded bytes excluding the last32-byte digest, so zeroing that excluded suffix is independently redundant; exact head/receipt bytes and custody stay separate.
DP-003	proposed	current_contract	25	40	DP-003	Share only the seven immutable session-opening facts. Captured older publication, latest candidate, current eligibility and disposed historical receipt checks remain different.
DP-004	proposed	current_contract	15	25	DP-004	Share the already prepared two-record disposal contribution after separate fresh-abandonment and ordinary saved-checkpoint validation. Do not combine the admission protocols.
DP-005	proposed	current_contract	35	55	DP-005	Share terminal membership and committed local-finalization mechanics while preserving generation, attachment and LocalFinalization versus LocalCustody errors.
DP-006	proposed	current_contract	40	60	DP-006	Preserve session/publication source=None and manual From while deriving exact messages; leave the source-returning opaque preparation error alone.
DP-007	proposed	current_contract	330	520	DP-007	Share candidate/staging mechanics with explicit positions, policy, order and prepared endpoints. DH-008 owns the ordinary-edit helper implementation; DP owns its own caller/registration/staging ranges, not historical support, DT-006 or any TestHome deletion.
DP-008	proposed	current_contract	81	88	DP-008	The three private helpers total81 body lines and have no references or included-file consumers. Delete them before fixture factoring; no test case disappears.
DP-009	retained	retained	0	0	DP-009	Do not unify ordinary, transactional and metered staging authentication into an unmetered reader. Published/hidden marker roots,14+2*pages acquisition and distinct terminal custody/evidence remain.
DP-010	correctness_correction	correctness	0	0	DP-010	Confirmed static head/head/closure ordering can misclassify a valid concurrent advance as invariant failure. Bracket closure acquisition with mutable-anchor observations; no retry loop or savings claim.
SL-001	proposed	current_contract	60	70	SL-001	Existing readers already implement the required behavior; import them directly and reuse the exact parent-index constructor.
SL-002	proposed	current_contract	120	180	SL-002	Share pure initial record bundles only after callers compute authenticated identities/revisions. Keep read order, assets, draft preservation and lifecycle kind in each operation.
SL-003	proposed	current_contract	80	120	SL-003	Share two narrow write pairs at their current positions, not a single writer that changes interleaving, optional reservation or contribution order.
SL-004	proposed	current_contract	55	85	SL-004	Share exact route-successor derivation with explicit Changed versus PreserveObserved head effect. Writer None means no write; read expectation must retain an unrelated newer head. Keep prior transition and promotion proofs.
SL-005	proposed	current_contract	500	580	SL-005	Merge identical successful fixture mechanics with explicit IDs/time and exact command counts. This excludes TempHome construction and named/generic fault drivers.
SL-006	proposed	current_contract	60	80	SL-006	One driver may execute both named/generic abandonment and all six cuts; retain named persistence-error assertion and reconciliation owner checks.
SL-R01	retained	retained	0	0	SL-R01	Keep ordinary versus provider stop effects and immutable compaction/retirement witnesses. They prove different durable successors and cannot be replaced by a generic state machine.
SX-001	proposed	current_contract	35	45	SX-001	Use the same prepared ActivityEffect after handoff-specific validation; duplicate HandoffRecords has no independent contribution semantics.
SX-002	proposed	current_contract	60	90	SX-002	Share next-item acquisition and common selected-history effects, preserving freeze authentication versus finalization projection checks and error/read/invalidation order.
SX-003	proposed	current_contract	45	75	SX-003	Share pure presentation/phase/order values after independent writer/scrub authentication. Owns the relevant SQ-R02 pieces once; typed failure adapters preserve each boundary.
SX-004	proposed	current_contract	20	30	SX-004	One presence-aware loop retains manifest-first collision and exact child absence/equality requirements.
SX-005	proposed	current_contract	50	80	SX-005	Share paragraph/fallback buffer mechanics while retaining persisted parser representation, exact source partition and separate fence/table behavior.
SX-006	proposed	current_contract	15	30	SX-006	Prepare only absent writes or pair each record with its presence; use a closed continuation/completion effect. Resource and resource-index occupancy remain independently checked.
SX-007	proposed	current_contract	300	400	SX-007	Share typed-provider/recovery/transcript/catalog fixture mechanics only. No SP-005 observation setup, SL-005 lifecycle fixture, SQ-006 rewrite or TempHome body overlaps.
SX-R01	retained	retained	0	0	SX-R01	Pulldown-cmark's eager input-wide first pass and private parser state do not replace checkpointed bounded projection. Closed-block use retains most Beryl mechanisms and has zero established net.
SX-R02	retained	retained	0	0	SX-R02	Keep source/target reads, exact receipts, historical generations and independent provider representation boundaries. SQ-005 owns the two internal-error boundary maps; no additional savings.
SC-001	proposed	current_contract	115	175	SC-001	Specialize the legacy prepared-content path for its sole UTF8 caller. ComposerV1 already has its separate fold; unused mixed marker/range scaffolding may disappear without removing content authority.
SC-002	proposed	current_contract	315	395	SC-002	Use existing thiserror for core errors while preserving deliberate absence of validation sources and attachment's source without new From. Do not merge error domains by string or source-chain inspection.
SC-003	proposed	current_contract	65	80	SC-003	One explicit production codec list may emit registration and reconciliation dispatch; retain an independent test inventory. Current86 versus target90 families is rework, not dead registration.
SC-004	proposed	current_contract	125	165	SC-004	A local required-read macro removes seventeen repeated stable-missing branches, retaining special missing thread handling, point-read order and distinct stabilized diagnostics.
SC-005	proposed	current_contract	75	95	SC-005	Share example stage outcomes only; consuming seal custody differs. The live example remains and does not count as dead upstream fork example code.
SC-006	proposed	current_contract	220	300	SC-006	Use separate test-local fixture and physical-family declarations with literal independent expectations. Do not generate corruption expectations from SC-003 production registration.
SC-007	proposed	current_contract	150	190	SC-007	Count150–190 including the PRE-007 draft-piece subrange95–125. Exclude DT-002 progress payload and DP-002 staging reconstruction; deliberate malformed fields/digests and three-record coordinated updates stay.
SC-008	proposed	current_contract	25	35	SC-008	Reuse the existing frontier deletion mutation with the public helper retained. Other history fault closures remain separate.
SC-009	proposed	current_contract	780	1020	SC-009	Remove the always-filtered construction chain before other fixture factoring. Both active::records consumers discard every392L item-record output; keep active_route_fact, exact retained output order, ProviderItemFixture::seed, active/provider_seed and canonical_empty_root_history_pair_for's real store.
SC-010	proposed	current_contract	35	50	SC-010	Share semantic seed/corrupt lifecycle mechanics but preserve separate fresh homes for routine registration and explicit recovery/scrub checks.
DH-001	proposed	current_contract	110	165	DH-001	Consolidate repeated local materializer checks while preserving the union of engine-only content-id/summary/ceiling conditions and existing decode versus engine diagnostics. Storage-dependent authentication and publication remain separate; terminal reachability need not clone five carries.
DH-002	proposed	current_contract	85	130	DH-002	One encoder state eliminates conversion copies; named private updates preserve the independently owned source state for admission and all persisted phases.
DH-003	proposed	current_contract	90	145	DH-003	Share pure stacks/charge and a bounded ancestry walker with exact acquisition adapters. Writer predecessor/root authentication remains stronger than documented post-commit read trust.
DH-004	proposed	current_contract	40	70	DH-004	Reuse existing CheckpointReader only for common source/transition/root predicates. Keep captured-candidate/request bytes, successor closure and first/last public anchor responsibilities local.
DH-005	proposed	current_contract	40	55	DH-005	Rekey/recharge one frontier through a private operation; preserve key-size-specific canonical charge and both semantic entry points.
DH-006	proposed	current_contract	15	30	DH-006	Borrow the exact successor effects already held by settlement, removing three clones and duplicate prepared storage. Four-record atomic closure remains; DH-011 validation repair is separate.
DH-007	proposed	current_contract	20	30	DH-007	Reuse exact transition-reference codec including repeated position/depth/digest. Keep independent request byte vectors and outer EOF checks.
DH-008	proposed	current_contract	200	300	DH-008	Own one ordinary-edit helper with explicit positions and budgets, plus only this cohort's caller savings. New SYN-SYN-001 adds the previously uncounted piece_tree/range-source callers and pays their generalization cost.
DH-009	proposed	current_contract	120	170	DH-009	Reuse file-local materializer fixture/acceptance/completion helpers and delete two unused appenders. Every four-bound assertion, hard step limit, fault phase and independent byte oracle stays.
DH-010	proposed	current_contract	30	45	DH-010	Derive exact displays while retaining manual conversions and source=None for all three errors; no new dependency.
DH-011	correctness_correction	correctness	0	0	DH-011	Confirmed partial successor options pass committed==all_three_present under noncommit. Require all three for committed and none otherwise; normal constructors currently emit all-or-none. Static malformed-record defect, zero savings.
DH-012	retained	retained	0	0	DH-012	Keep exact lineage retention, published/newest separation and resumable materializer phases. Digest-first planning precedes bounded writes; only atomic seal publishes root mapping. Resident collections do not remove these contracts.
SYN-SYN-001	proposed	current_contract	20	40	SYN-SYN-001	The original PRE-003 named transaction duplication survives the local reports: piece_tree::transaction(797–847) and syndic_range_source::transaction(401–452) perform the same session/header/ordered-fragment preparation, differing only in an unused seed parameter. Extend DH-008's ordinary-edit core to accept explicit replacements plus predecessor/successor caret/selection pairs; keep thin local wrappers and each Transaction's explicit session/operation/positions. Do not merge stage/advance/settle or fault points.
SYN-SYN-002	proposed	current_contract	260	330	SYN-SYN-002	Reuse tempfile3.27.0 through one feature-neutral test helper with new(label)/path(), exclusive random directory creation and bounded cleanup retry. Route existing support modules to that helper without importing test-faults into default targets. Replace the manually scoped default-feature thread-properties directory. Keep live stores/leases/handles before the home in field destruction order; preserve explicit close/reopen and local-binding order. This is Syndic's PRE-004 share only.
PRE-001	superseded	overlap	0	0	DT-004	DT-004's corrected frontier-only60–85 schema-gated estimate supersedes preliminary95–130; retain the distinct active-marker Removing phase.
PRE-003	superseded	overlap	0	0	durable_edit_fixture_family	Replace the preliminary250–350 blanket estimate with the owned fixture budgets. DH-008 pays the ordinary-edit implementation, DP-007 pays its own setup/callers, DT-006 owns marker/capture mechanics, DH-009 owns materializer-local setup, and SYN-SYN-001 pays only the omitted piece_tree/range-source caller extension.
PRE-004	merged	overlap	0	0	SYN-SYN-002	The original global260–350 lead is not additive. SYN-SYN-002 owns only the confirmed Syndic incremental260–330 after other fixture findings; root integrates other crates separately.
PRE-007	superseded	overlap	0	0	SC-007	The draft-piece95–125 component is contained in SC-007150–190. DT-002 build progress and DP-002 staging receipt reconstruction are disjoint and remain separate.
PRE-009	partially_subsumed_retained_elsewhere	overlap	0	0	authenticated_draft_predicates	Confirmed pure immutable opening/frontier/settlement pieces total155–255 inside those existing budgets. The broader unmetered common authentication reader is not adopted: DP-009 and SA-010 retain distinct writer/acquisition/preflight checks. Preliminary250–360 is discarded, not added.
PRE-015	deferred_contract_decision	contract_alternative	0	0	resident_editor_alternative	Unsized product/system/schema alternative. It must explicitly select maximum logical draft size, history persistence/retention, marker semantics and interrupted edit/save behavior. It could remove entire durable-tree/staging/history/materializer responsibilities, but retained publication, asset correlation and custody still require a concrete replacement. Ropey/im do not preserve the existing contract; no gross subsystem LOC is an estimate.
PRE-016	existing_rework	existing_rework	0	0	planned_tree_and_seal_ownership	REWORK Checkpoint8 already schedules narrow persistent-tree rebalancing sharing and bootstrap-owned marker-service injection. Root compression shares mechanics, but identity-key versus rank selection and authenticated aggregates differ. App owns the global Weak registry; Syndic durable seal/capacity rules remain. Neither planned cleanup is counted again.
