id	subsystem	disposition	evidence_maturity	bucket	net_min	net_max	overlap_group	subsystem_report	evidence
AM-006	app	proposed	whole_codebase_review	current_contract	180	260	AM-006	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-mount-findings.json#AM-006; subsystem-app.json decision
AM-007	app	retained	whole_codebase_review	overlap	0	0	host-request-high-water	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-mount-findings.json#AM-007; subsystem-app.json decision
AM-008	app	proposed	whole_codebase_review	correctness	0	0	AM-008	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-mount-findings.json#AM-008; subsystem-app.json decision
AM-009	app	retained	whole_codebase_review	retained	0	0	AM-009	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-mount-findings.json#AM-009; subsystem-app.json decision
AP-001	app	proposed	whole_codebase_review	current_contract	55	85	AP-001	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-composer-findings.json#AP-001; subsystem-app.json decision
AP-002	app	proposed	whole_codebase_review	current_contract	20	40	AP-002	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-composer-findings.json#AP-002; subsystem-app.json decision
AP-003	app	proposed	whole_codebase_review	current_contract	25	45	AP-003	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-composer-findings.json#AP-003; subsystem-app.json decision
AP-004	app	proposed	whole_codebase_review	current_contract	20	35	AP-004	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-composer-findings.json#AP-004; subsystem-app.json decision
AP-005	app	proposed	whole_codebase_review	current_contract	130	210	AP-005	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-composer-findings.json#AP-005; subsystem-app.json decision
AP-006	app	proposed	whole_codebase_review	current_contract	170	290	AP-006	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-composer-findings.json#AP-006; subsystem-app.json decision
AP-007	app	proposed	whole_codebase_review	correctness	0	0	host-request-high-water	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-composer-findings.json#AP-007; subsystem-app.json decision
AP-008	app	retained	whole_codebase_review	existing_rework	0	0	AP-008	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-composer-findings.json#AP-008; subsystem-app.json decision
APP-SYN-001	app	proposed	whole_codebase_review	current_contract	12	18	app-tempfile-only	reviews/subsystem-app.json	crates/beryl-app/tests/syndic_composer_host/support.rs; crates/beryl-app/tests/saved_opening/support.rs; crates/beryl-app/tests/support/tempdir.rs; crates/beryl-app/Cargo.toml; subsystem-app.json APP-SYN-001
APP-SYN-002	app	proposed	whole_codebase_review	correctness	0	0	app-tempdir-drop-order	reviews/subsystem-app.json	crates/beryl-app/tests/main_window_shell.rs; subsystem-app.json APP-SYN-002
APP-SYN-003	app	proposed	whole_codebase_review	current_contract	25	40	forwarding-hub-admission	reviews/subsystem-app.json	crates/beryl-app/src/cas_projection/connection/forwarding_hub.rs; crates/beryl-app/src/cas_projection/connection/lifecycle.rs; subsystem-app.json APP-SYN-003
AS-001	app	proposed	whole_codebase_review	current_contract	160	280	AS-001	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-shell-findings.json#AS-001; subsystem-app.json decision
AS-002	app	proposed	whole_codebase_review	current_contract	70	130	AS-002	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-shell-findings.json#AS-002; subsystem-app.json decision
AS-003	app	proposed	whole_codebase_review	current_contract	50	75	AS-003	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-shell-findings.json#AS-003; subsystem-app.json decision
AS-004	app	retained	whole_codebase_review	retained	0	0	AS-004	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-shell-findings.json#AS-004; subsystem-app.json decision
AS-005	app	proposed	whole_codebase_review	current_contract	90	130	AS-005	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-shell-findings.json#AS-005; subsystem-app.json decision
AS-006	app	proposed	whole_codebase_review	current_contract	65	105	AS-006	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-shell-findings.json#AS-006; subsystem-app.json decision
AS-007	app	proposed	whole_codebase_review	current_contract	70	115	AS-007	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-shell-findings.json#AS-007; subsystem-app.json decision
AS-008	app	proposed	whole_codebase_review	current_contract	250	400	AS-008	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-shell-findings.json#AS-008; subsystem-app.json decision
AS-009	app	proposed	whole_codebase_review	current_contract	220	320	source-shape-behavior	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-shell-findings.json#AS-009; subsystem-app.json decision
AU-001	app	proposed	whole_codebase_review	current_contract	150	220	AU-001	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-services-findings.json#AU-001; subsystem-app.json decision
AU-002	app	proposed	whole_codebase_review	current_contract	20	40	AU-002	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-services-findings.json#AU-002; subsystem-app.json decision
AU-003	app	proposed	whole_codebase_review	current_contract	60	85	AU-003	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-services-findings.json#AU-003; subsystem-app.json decision
AU-004	app	proposed	whole_codebase_review	current_contract	45	70	AU-004	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-services-findings.json#AU-004; subsystem-app.json decision
AU-005	app	proposed	whole_codebase_review	current_contract	20	30	AU-005	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-services-findings.json#AU-005; subsystem-app.json decision
AU-006	app	proposed	whole_codebase_review	current_contract	120	190	AU-006	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-services-findings.json#AU-006; subsystem-app.json decision
AU-007	app	proposed	whole_codebase_review	current_contract	55	75	AU-007	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-services-findings.json#AU-007; subsystem-app.json decision
AU-008	app	proposed	whole_codebase_review	current_contract	170	220	AU-008	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-services-findings.json#AU-008; subsystem-app.json decision
AU-009	app	retained	whole_codebase_review	retained	0	0	AU-009	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-services-findings.json#AU-009; subsystem-app.json decision
AW-001	app	proposed	whole_codebase_review	current_contract	45	65	AW-001	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-window-findings.json#AW-001; subsystem-app.json decision
AW-002	app	proposed	whole_codebase_review	current_contract	140	210	AW-002	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-window-findings.json#AW-002; subsystem-app.json decision
AW-003	app	deferred	whole_codebase_review	contract_alternative	330	430	notice-copy-contract	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-window-findings.json#AW-003; subsystem-app.json decision
AW-004	app	proposed	whole_codebase_review	current_contract	8	12	notice-copy-contract	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-window-findings.json#AW-004; subsystem-app.json decision
AW-005	app	proposed	whole_codebase_review	correctness	0	0	AW-005	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-window-findings.json#AW-005; subsystem-app.json decision
AW-006	app	retained	whole_codebase_review	retained	0	0	AW-006	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-window-findings.json#AW-006; subsystem-app.json decision
AW-007	app	retained	whole_codebase_review	retained	0	0	AW-007	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-window-findings.json#AW-007; subsystem-app.json decision
AX-001	app	proposed	whole_codebase_review	current_contract	60	90	AX-001	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-001; subsystem-app.json decision
AX-002	app	proposed	whole_codebase_review	current_contract	8	12	AX-002	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-002; subsystem-app.json decision
AX-003	app	proposed	whole_codebase_review	current_contract	135	195	AX-003	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-003; subsystem-app.json decision
AX-004	app	proposed	whole_codebase_review	current_contract	65	105	AX-004	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-004; subsystem-app.json decision
AX-005	app	proposed	whole_codebase_review	current_contract	55	85	AX-005	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-005; subsystem-app.json decision
AX-006	app	proposed	whole_codebase_review	correctness	0	0	AX-006	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-006; subsystem-app.json decision
AX-007	app	proposed	whole_codebase_review	current_contract	150	185	AX-007	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-007; subsystem-app.json decision
AX-008	app	proposed	whole_codebase_review	current_contract	30	50	AX-008	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-008; subsystem-app.json decision
AX-009	app	proposed	whole_codebase_review	current_contract	22	35	AX-009	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-009; subsystem-app.json decision
AX-010	app	proposed	whole_codebase_review	current_contract	65	100	AX-010	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-010; subsystem-app.json decision
AX-011	app	proposed	whole_codebase_review	current_contract	65	100	AX-011	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-011; subsystem-app.json decision
AX-012	app	proposed	whole_codebase_review	current_contract	15	25	AX-012	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-012; subsystem-app.json decision
AX-013	app	proposed	whole_codebase_review	current_contract	15	25	AX-013	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-013; subsystem-app.json decision
AX-014	app	proposed	whole_codebase_review	current_contract	25	45	AX-014	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-014; subsystem-app.json decision
AX-015	app	proposed	whole_codebase_review	current_contract	1640	1725	AX-015	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-015; subsystem-app.json decision
AX-016	app	proposed	whole_codebase_review	current_contract	160	230	AX-016	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-016; subsystem-app.json decision
AX-017	app	proposed	whole_codebase_review	current_contract	150	230	AX-017	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-017; subsystem-app.json decision
AX-018	app	retained	whole_codebase_review	overlap	0	0	source-shape-behavior	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-018; subsystem-app.json decision
AX-019	app	proposed	whole_codebase_review	correctness	0	0	AX-019	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-019; subsystem-app.json decision
AX-020	app	retained	whole_codebase_review	existing_rework	0	0	AX-020	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-020; subsystem-app.json decision
BJ-001	foundations	proposed	whole_codebase_review	current_contract	300	450	backend-control-grammar	reviews/subsystem-foundations.json	PRE-008 refined; count compact control fixed scalar/probe grammar only; response common/number helpers belong to BJ-003.
BJ-002	foundations	proposed	whole_codebase_review	current_contract	100	170	backend-page-capture	reviews/subsystem-foundations.json	Shared leased output core after typed adapters; provider context/dynamic offsets/abandonment remain; steering excluded.
BJ-003	foundations	proposed	whole_codebase_review	current_contract	1660	2460	backend-response-parser	reviews/subsystem-foundations.json	Original1800–2600 less140 at both bounds to remove all BJ-004 correctness savings; cursor/schema/drain/integration cost already deducted; medium confidence pending focused prototype.
BJ-004	foundations	proposed	whole_codebase_review	correctness	0	0	backend-response-parser	reviews/subsystem-foundations.json	Pinned producer emits reasoning-effort records only; unauthorized string/map tolerance removal is correctness. Historical100–140 lines excluded and deducted from BJ-003.
BJ-005	foundations	retained	whole_codebase_review	retained	0	0	backend-recognizer	reviews/subsystem-foundations.json	Generic JSON/float crates do not preserve arbitrary fragmented scalar/name residency; retain bounded-json and numeric accumulator.
BR-001	foundations	proposed	whole_codebase_review	current_contract	150	220	backend-response-wait	reviews/subsystem-foundations.json	Neutral deadline/read/approval pump once; caller dispatch, exact family, echo timing and retirement stay explicit.
BR-002	foundations	proposed	whole_codebase_review	current_contract	35	55	backend-approval-fifo	reviews/subsystem-foundations.json	VecDeque with explicit admission capacity and exact rejected payload; no generic channel framework.
BR-003	foundations	proposed	whole_codebase_review	current_contract	100	150	backend-outbound	reviews/subsystem-foundations.json	Source-aware writer setup/failure normalization only; actual first-byte dispatch/source-error priority/poison preserved.
BR-004	foundations	proposed	whole_codebase_review	current_contract	73	120	backend-ingress-bookkeeping	reviews/subsystem-foundations.json	Backend65–110 plus app8–10 net field/init/accessor/two tautology removals, counted only here. Connection driver forwards inferred tuple and needs checking, not necessarily editing.
BR-005	foundations	proposed	whole_codebase_review	current_contract	220	330	backend-test-handshake	reviews/subsystem-foundations.json	Successful setup only; initialization refusal, fault timing, sink binding and independent wire expectations remain.
BR-006	foundations	proposed	whole_codebase_review	current_contract	30	50	backend-source-guards	reviews/subsystem-foundations.json	Remove spelling/order scans only; retain no-DOM, no-probe, no-target-touching and no-coarse-cleanup exclusions.
BR-007	foundations	proposed	whole_codebase_review	current_contract	80	110	errors-backend	reviews/subsystem-foundations.json	Existing thiserror/Debug derives only for identical wrapper presentations; redacted leaves and exact rejected ownership retained.
BR-008	foundations	proposed	whole_codebase_review	current_contract	35	55	backend-fixed-wire	reviews/subsystem-foundations.json	Serde1.0.228 derives fixed object/array framing; existing serde_json1.0.149 collect_str source-aware streamed text remains.
BR-009	foundations	retained	whole_codebase_review	retained	0	0	backend-process-transport	reviews/subsystem-foundations.json	Retain kernel job ownership, bounded WSL teardown and fragmented soketto framing; generic replacements have concrete gaps.
BR-010	foundations	deferred	whole_codebase_review	deferred	0	0	backend-response-parser	reviews/subsystem-foundations.json	Capped typed Serde ancillary-input alternative overlaps BJ-003 and has unresolved acceptance/allocation/prefix/drain costs. Candidate1.0.151 differs from resolved1.0.149; no upgrade implied.
DH-001	syndic	proposed	whole_codebase_review	current_contract	110	165	DH-001	reviews/subsystem-syndic.json	Consolidate repeated local materializer checks while preserving the union of engine-only content-id/summary/ceiling conditions and existing decode versus engine diagnostics. Storage-dependent authentication and publication remain separate; terminal reachability need not clone five carries.
DH-002	syndic	proposed	whole_codebase_review	current_contract	85	130	DH-002	reviews/subsystem-syndic.json	One encoder state eliminates conversion copies; named private updates preserve the independently owned source state for admission and all persisted phases.
DH-003	syndic	proposed	whole_codebase_review	current_contract	90	145	DH-003	reviews/subsystem-syndic.json	Share pure stacks/charge and a bounded ancestry walker with exact acquisition adapters. Writer predecessor/root authentication remains stronger than documented post-commit read trust.
DH-004	syndic	proposed	whole_codebase_review	current_contract	40	70	DH-004	reviews/subsystem-syndic.json	Reuse existing CheckpointReader only for common source/transition/root predicates. Keep captured-candidate/request bytes, successor closure and first/last public anchor responsibilities local.
DH-005	syndic	proposed	whole_codebase_review	current_contract	40	55	DH-005	reviews/subsystem-syndic.json	Rekey/recharge one frontier through a private operation; preserve key-size-specific canonical charge and both semantic entry points.
DH-006	syndic	proposed	whole_codebase_review	current_contract	15	30	DH-006	reviews/subsystem-syndic.json	Borrow the exact successor effects already held by settlement, removing three clones and duplicate prepared storage. Four-record atomic closure remains; DH-011 validation repair is separate.
DH-007	syndic	proposed	whole_codebase_review	current_contract	20	30	DH-007	reviews/subsystem-syndic.json	Reuse exact transition-reference codec including repeated position/depth/digest. Keep independent request byte vectors and outer EOF checks.
DH-008	syndic	proposed	whole_codebase_review	current_contract	200	300	DH-008	reviews/subsystem-syndic.json	Own one ordinary-edit helper with explicit positions and budgets, plus only this cohort's caller savings. New SYN-SYN-001 adds the previously uncounted piece_tree/range-source callers and pays their generalization cost.
DH-009	syndic	proposed	whole_codebase_review	current_contract	120	170	DH-009	reviews/subsystem-syndic.json	Reuse file-local materializer fixture/acceptance/completion helpers and delete two unused appenders. Every four-bound assertion, hard step limit, fault phase and independent byte oracle stays.
DH-010	syndic	proposed	whole_codebase_review	current_contract	30	45	DH-010	reviews/subsystem-syndic.json	Derive exact displays while retaining manual conversions and source=None for all three errors; no new dependency.
DH-011	syndic	proposed	whole_codebase_review	correctness	0	0	DH-011	reviews/subsystem-syndic.json	Confirmed partial successor options pass committed==all_three_present under noncommit. Require all three for committed and none otherwise; normal constructors currently emit all-or-none. Static malformed-record defect, zero savings.
DH-012	syndic	retained	whole_codebase_review	retained	0	0	DH-012	reviews/subsystem-syndic.json	Keep exact lineage retention, published/newest separation and resumable materializer phases. Digest-first planning precedes bounded writes; only atomic seal publishes root mapping. Resident collections do not remove these contracts.
DP-001	syndic	proposed	whole_codebase_review	current_contract	110	170	DP-001	reviews/subsystem-syndic.json	Share immutable build identity construction and header-preserving updates after DT-002's payload boundary is chosen. No repeated public accessor or model/digest deletion is counted.
DP-002	syndic	proposed	whole_codebase_review	current_contract	170	260	DP-002	reviews/subsystem-syndic.json	One authenticated staging finalizer removes provisional/final constructor copies. receipt_digest hashes encoded bytes excluding the last32-byte digest, so zeroing that excluded suffix is independently redundant; exact head/receipt bytes and custody stay separate.
DP-003	syndic	proposed	whole_codebase_review	current_contract	25	40	DP-003	reviews/subsystem-syndic.json	Share only the seven immutable session-opening facts. Captured older publication, latest candidate, current eligibility and disposed historical receipt checks remain different.
DP-004	syndic	proposed	whole_codebase_review	current_contract	15	25	DP-004	reviews/subsystem-syndic.json	Share the already prepared two-record disposal contribution after separate fresh-abandonment and ordinary saved-checkpoint validation. Do not combine the admission protocols.
DP-005	syndic	proposed	whole_codebase_review	current_contract	35	55	DP-005	reviews/subsystem-syndic.json	Share terminal membership and committed local-finalization mechanics while preserving generation, attachment and LocalFinalization versus LocalCustody errors.
DP-006	syndic	proposed	whole_codebase_review	current_contract	40	60	DP-006	reviews/subsystem-syndic.json	Preserve session/publication source=None and manual From while deriving exact messages; leave the source-returning opaque preparation error alone.
DP-007	syndic	proposed	whole_codebase_review	current_contract	330	520	DP-007	reviews/subsystem-syndic.json	Share candidate/staging mechanics with explicit positions, policy, order and prepared endpoints. DH-008 owns the ordinary-edit helper implementation; DP owns its own caller/registration/staging ranges, not historical support, DT-006 or any TestHome deletion.
DP-008	syndic	proposed	whole_codebase_review	current_contract	81	88	DP-008	reviews/subsystem-syndic.json	The three private helpers total81 body lines and have no references or included-file consumers. Delete them before fixture factoring; no test case disappears.
DP-009	syndic	retained	whole_codebase_review	retained	0	0	DP-009	reviews/subsystem-syndic.json	Do not unify ordinary, transactional and metered staging authentication into an unmetered reader. Published/hidden marker roots,14+2*pages acquisition and distinct terminal custody/evidence remain.
DP-010	syndic	proposed	whole_codebase_review	correctness	0	0	DP-010	reviews/subsystem-syndic.json	Confirmed static head/head/closure ordering can misclassify a valid concurrent advance as invariant failure. Bracket closure acquisition with mutable-anchor observations; no retry loop or savings claim.
DT-001	syndic	proposed	whole_codebase_review	current_contract	60	100	DT-001	reviews/subsystem-syndic.json	Flatten record variants and immediate downcasts together, maintaining boxed large payloads and public opaque opening APIs. Session/publication caller savings are already included and excluded from DP-003/004.
DT-002	syndic	proposed	whole_codebase_review	current_contract	60	100	DT-002	reviews/subsystem-syndic.json	Share the eleven-field private progress payload and receipt traversal without merging independently durable records or deleting public accessors. DP-001 owns only header-copy callers.
DT-003	syndic	proposed	whole_codebase_review	current_contract	60	90	DT-003	reviews/subsystem-syndic.json	Refine direct delegation: finalize_build_root compresses all roots and checks session before wrapping a singleton sequence, whereas build_roots wraps before index/order compression. Share post-normalization summary construction or preserve those caller preludes exactly; direct delegation alone is not established read/error equivalent. Keep 60–90 net for the bounded extraction.
DT-004	syndic	deferred	whole_codebase_review	contract_alternative	60	85	DT-004	reviews/subsystem-syndic.json	Replace only DraftPieceBuildFrontierV1::Removing with a schema-authorized Planning→Applying transition. Correct paths are model.rs, codec.rs, tree.rs, persistent.rs and one mutation.rs match. DraftPieceActiveMarkerPhaseV1::Removing in builder_model/builder_continuation remains required. Revised conditional net60–85 supersedes both preliminary95–130 and file-review40–100.
DT-005	syndic	proposed	whole_codebase_review	current_contract	40	80	DT-005	reviews/subsystem-syndic.json	Share cursor descent/prefix mechanics with a small direction choice. Keep exclusive marker continuation, scalar anchoring, same-anchor ordering and fixed read budgets.
DT-006	syndic	proposed	whole_codebase_review	current_contract	70	120	DT-006	reviews/subsystem-syndic.json	Keep 70–120 for existing command/publication-capture/marker-limit/CandidateDraft reuse. This owns draft_label_protection's local home body; new TempDir share excludes it completely. DP-007 excludes these constructor ranges even where durable_builder support is shared.
DT-007	syndic	retained	whole_codebase_review	retained	0	0	DT-007	reviews/subsystem-syndic.json	Ropey may serve a future bounded resident view, but a private resident text tree cannot replace three durable authenticated structures and their exact restart protocol. No storage saving.
EN-001	foundations	retained	whole_codebase_review	existing_rework	0	0	entry-bootstrap	reviews/subsystem-foundations.json	Three-line compile_error placeholder is paused rework, not simplification or runnable-build evidence.
FND-SYN-001	foundations	proposed	whole_codebase_review	correctness	0	0	temporary-home-destruction	reviews/subsystem-foundations.json	Three foundation fixtures declare TempDir before live HomeStore; drop attempts cleanup before store retirement. Reorder or explicit scoped cleanup; no line reduction, runtime failure not reproduced.
FND-SYN-002	foundations	proposed	whole_codebase_review	correctness	0	0	state-test-evidence	reviews/subsystem-foundations.json	ST-004 correction portions: lazy spawn/join is serialized; digest arguments are unused so content-neutrality comparison has identical effective inputs. Preserve independent useful oracles; zero reduction credited.
HS-001	foundations	proposed	whole_codebase_review	current_contract	100	180	home-recovery-preflight	reviews/subsystem-foundations.json	Shared validated candidate and family opening; all-domain preflight before any attachment callback retained.
HS-002	foundations	proposed	whole_codebase_review	current_contract	75	115	home-proof-seal	reviews/subsystem-foundations.json	Unique immutable seal binds redundant fences; independent expected/observed correlation, store/generation and execution validation retained. Clarify proof representation before implementation.
HS-003	foundations	deferred	whole_codebase_review	contract_alternative	150	260	home-collision-retention	reviews/subsystem-foundations.json	Explicit authority change removes retained detailed diagnostic archive only; closed scope/flight/home custody and bounded charge remain.
HS-004	foundations	proposed	whole_codebase_review	correctness	0	0	home-physical-provenance	reviews/subsystem-foundations.json	Local 40–85 potential reduction excluded: shared point adapter also corrects physical errors currently misclassified by raw-box fallback.
HS-005	foundations	proposed	whole_codebase_review	current_contract	40	85	home-writer-snapshot	reviews/subsystem-foundations.json	Reuse same held-writer snapshot and admitted facts; prepare-all/receipt-overflow/contribute-all order preserved.
